DATASET_SIMPLEBAR
SEPARATOR TAB

#数据集名称
DATASET_LABEL	simplebar_size
PN15RO.bin.125	2.236067977
PN15RF.bin.57	2.236067977
PN8RD.vae.6440	2.236067977
PN12RE.vae.2619	2.236067977
PN10RS.vae.1153	2.236067977
PN1RG.vae.3730	2.236067977
PN2CI.vae.2677	2.236067977
PN9RJ.vae.3902	2.236067977
PN5RA.vae.6005	2.236067977
PN5GD.vae.1241	2.236067977
PN6RA.vae.93628	2.236067977
PN5LG.vae.9777	2.236067977
PN2LH.bin.64	2.236067977
PN2GC.bin.3	2.236067977
PN9RQ.vae.2786	2.236067977
PN8RB.vae.19883	2.236067977
PN5CB.vae.22709	2.236067977
PN8RL.vae.6450	2.236067977
PN1GL.bin.46	2.236067977
PN2CE.vae.27783	2.236067977
PN14RB.vae.21314	2.236067977
PN6RO.vae.20214	2.236067977
PN1IB.vae.15256	2.236067977
PN8RE.vae.2402	2.236067977
PN8RE.vae.5104	2.236067977
PN2LJ.vae.18012	2.236067977
PN15RM.vae.10032	2.236067977
PN6RS.bin.20	2.236067977
PN9RH.vae.2191	2.236067977
J458	2.236067977
PN2LG.bin.121	2.236067977
PN6RB.bin.220	2.236067977
PN12RC.vae.13629	2.236067977
PN8RS.vae.2523	2.236067977
PN10RH.vae.45902	2.236067977
PN7RS.bin.135	2.236067977
PN13RQ.vae.10055	2.236067977
PN1LI.vae.2220	2.236067977
PN14RP.vae.9847	2.236067977
PN6RO.bin.136	2.236067977
PN10RP.vae.18017	2.236067977
PN5GH.vae.22826	2.236067977
PN3RC.vae.19866	2.236067977
PN14RN.bin.172	2.236067977
PN16RU.vae.32404	2.236067977
PN10RR.vae.16186	2.236067977
PN5RA.bin.269	2.236067977
PN3GD.vae.11167	2.236067977
PN14RC.bin.219	2.236067977
PN14RK.vae.22272	2.236067977
PN3GB.bin.12	2.236067977
PN5RF.vae.2840	2.236067977
PN3RF.vae.27902	2.236067977
PN5RD.bin.87	2.236067977
PN3GD.bin.28	2.236067977
PN5LB.vae.1504	2.236067977
