DATASET_GRADIENT
#In gradient datasets, each ID is associated to a single numeric value which is converted to a colored box based on the gradient defined.

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file.
SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	abundance
PN5CC.bin.109	2.525275642
PN2RB.vae.21973	2.523495153
PN5RD.vae.38703	2.522773138
PN5IB.vae.1127	2.520947131
PN15RM.vae.10032	2.520883848
PN13RB.bin.67	2.520348043
PN11RF.vae.43843	2.520025635
PN1LF.vae.3486	2.518164352
PN10RN.vae.20273	2.517442899
PN16RD.vae.1180	2.517120853
PN9RG.vae.6345	2.512033141
PN10RM.vae.8333	2.511963236
PN8RM.vae.3300	2.511851229
PN11RG.bin.31	2.51094981
PN7RV.vae.20698	2.510192003
PN12RA.vae.8317	2.50858815
PN16RI.vae.59225	2.508300742
PN1RL.vae.827	2.506445126
PN1GJ.bin.56	2.506380612
PN13RA.bin.191	2.506285927
PN11RL.vae.9447	2.50476155
PN2LH.bin.73	2.504466739
PN5JD.bin.136	2.503758084
PN6RO.vae.123632	2.503749399
PN6RC.vae.16352	2.502990329
PN14RK.vae.4906	2.501952928
PN5JD.vae.18609	2.501712938
PN11RF.vae.8556	2.501159295
PN13RE.vae.2571	2.500773448
PN13RO.vae.45168	2.500702469
PN5LD.vae.12589	2.500080947
PN11RF.vae.5164	2.500071651
PN10RE.vae.35066	2.498265018
PN12RH.bin.61	2.498261317
PN5LA.bin.224	2.498125923
PN6RE.vae.2948	2.497752304
PN11RF.bin.105	2.497711158
PN1RK.vae.7227	2.497544753
PN1GG.vae.29493	2.496630924
PN3RG.vae.4014	2.4961306
PN5CF.vae.2490	2.495715544
PN1CI.vae.4555	2.493663187
PN6RS.bin.20	2.490936714
PN14RI.vae.7554	2.488836692
PN3LA.vae.2051	2.487093997
PN12RB.vae.10809	2.486635161
PN9RH.vae.2191	2.485730174
PN16RM.bin.176	2.484905063
J458	2.484802084
PN8RD.vae.8264	2.483636861
PN5LF.vae.3446	2.482668868
PN1GD.bin.19	2.482569956
PN5RF.bin.177	2.481868465
PN5GA.vae.7976	2.481529814
PN15RN.vae.1625	2.480901899
PN3RA.vae.55291	2.478562689
PN8RL.vae.44930	2.477033165
PN3DF.bin.15	2.475775362
PN8RC.vae.1634	2.4745701
PN7RG.vae.32444	2.472470796
PN7RJ.vae.4665	2.472122795
PN7RH.vae.14632	2.471258716
PN1LF.bin.53	2.471117766
PN10RG.vae.5488	2.470904883
PN6RC.vae.18865	2.469374666
PN15RL.vae.36467	2.46908743
PN10RK.bin.142	2.468945013
PN16RH.bin.16	2.468034325
PN4RD.bin.98	2.467772702
PN16RC.bin.14	2.466957143
PN2LE.vae.27167	2.466864709
PN11RM.vae.652	2.465446095
PN5RC.bin.237	2.464878165
PN8RQ.bin.43	2.464516834
PN8RR.bin.211	2.464074657
PN13RT.vae.9075	2.463779127
PN1LL.vae.7969	2.460217882
PN10RI.bin.149	2.458797633
PN8RF.vae.9958	2.458615107
PN3RA.vae.519	2.457637918
PN8RE.vae.10101	2.457246646
PN3LG.bin.72	2.456441672
PN2LG.bin.121	2.456153755
PN5GH.vae.19480	2.455576849
PN5LD.bin.59	2.455124993
PN5RB.bin.46	2.454819488
PN6RO.vae.45512	2.453784675
PN3JH.bin.35	2.451997404
PN6RE.bin.46	2.451830486
PN10RJ.vae.349	2.450921087
PN8RG.vae.33505	2.450693344
PN6RB.bin.220	2.450658545
PN2CC.vae.10734	2.449489323
PN15RO.bin.174	2.449487381
PN6RP.vae.45411	2.448490322
PN3RB.bin.162	2.447762396
PN8RI.vae.21106	2.447225683
PN6RG.vae.12596	2.446320626
PN5LC.vae.8673	2.4443435
PN6RO.bin.188	2.444085817
PN14RO.vae.50703	2.442989847
PN9RK.bin.7	2.442822273
PN16RF.bin.140	2.440173907
PN10RM.vae.47156	2.440104753
PN12RC.vae.13629	2.43923782
PN7RM.vae.11329	2.438792107
PN7RM.vae.11221	2.43875355
PN10RD.vae.68802	2.438192352
PN11RA.vae.1033	2.438028392
PN3LB.vae.30663	2.437788851
PN7RF.vae.31801	2.437624032
PN5JB.vae.7699	2.436598712
PN10RN.vae.28271	2.434920146
PN4RC.vae.6332	2.433639698
PN16RN.bin.23	2.432237105
PN10RG.vae.8672	2.431932376
PN10RP.vae.14595	2.430470017
PN3RE.vae.21235	2.429936402
PN2LA.bin.124	2.42768772
PN8RS.vae.2523	2.426748575
PN16RL.bin.82	2.426057824
G32	2.424082984
PN4RF.vae.51092	2.423968081
PN6RL.vae.3945	2.422353092
PN11RI.vae.5791	2.422222535
PN2RI.vae.11061	2.421677987
PN12RG.vae.22175	2.421275504
PN5RB.vae.20576	2.420150191
PN10RH.vae.45902	2.41982478
PN16RV.vae.4628	2.419607118
PN8RB.vae.24384	2.419548025
PN2LD.vae.8668	2.418663675
PN6RC.vae.11816	2.41814363
PN10RP.vae.24027	2.41568142
PN7RQ.vae.4036	2.414792016
PN7RS.bin.135	2.414303642
PN2CI.vae.879	2.412839623
PN10RB.vae.19525	2.412277056
PN10RA.bin.28	2.411681541
PN6RE.vae.9055	2.411513726
PN3RB.vae.134867	2.411459478
PN1GE.bin.83	2.41097927
PN10RP.vae.14678	2.410237669
PN6RM.vae.13644	2.408474633
PN7RR.vae.8218	2.408346255
PN10RQ.vae.15914	2.408333047
PN10RO.vae.13997	2.408261193
PN12RE.bin.72	2.407386279
PN9RF.vae.4481	2.406851486
PN10RB.vae.21862	2.405931073
PN7RF.vae.38499	2.404497501
PN11RA.bin.14	2.404179507
PN3GA.bin.38	2.40331223
PN2RB.vae.24203	2.402992354
PN5RA.vae.29304	2.402384347
PN5IA.bin.33	2.402012721
PN3LE.bin.54	2.400976964
PN3GA.bin.54	2.399929568
PN15RB.bin.121	2.3984267
PN9RE.vae.43533	2.396760598
PN13RQ.vae.10055	2.393937694
PN11RM.vae.28195	2.39189735
PN3RH.vae.16642	2.391433042
PN5RB.vae.17155	2.390389314
PN4RH.vae.13294	2.390210342
PN1RA.bin.272	2.389913217
PN1LD.vae.9714	2.389601586
