DATASET_GRADIENT
#In gradient datasets, each ID is associated to a single numeric value which is converted to a colored box based on the gradient defined.

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file.
SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	occurence
PN11RM.vae.28195	1.463935441
PN16RT.bin.84	0.845233778
PN5JC.vae.770	1.381476485
PN16RD.vae.6276	1.668463403
PN16RM.bin.80	1.732780753
PN6RO.vae.123632	1.313211654
PN2RB.vae.24203	1.335718995
PN11RK.vae.3461	1.191342149
PN6RP.vae.10731	1.335718995
PN3CG.vae.18280	1.45067351
PN6RG.bin.120	1.486211836
PN10RS.vae.30369	1.662303095
PN10RP.vae.14595	1.232178403
PN13RE.vae.10287	1.660230086
PN5RF.vae.2840	1.651837661
PN8RJ.bin.67	1.42286917
PN13RL.vae.22407	1.519060747
PN6RO.vae.8535	1.486211836
PN16RA.vae.15936	1.616545604
PN13RP.vae.1205	1.670497573
PN9RP.vae.118	1.11823505
PN16RD.vae.1180	1.289473807
PN3RH.vae.16642	1.660230086
PN13RR.vae.45074	1.460657731
PN2RA.bin.16	1.554927648
PN10RF.vae.2930	1.45067351
PN1RC.bin.180	1.513270068
PN7RI.vae.5076	1.457355096
PN7RK.vae.3297	1.62788553
PN5LB.vae.12017	1.755057148
PN5CB.vae.22709	1.570532721
PN5LG.bin.35	1.707439721
PN11RL.vae.8438	1.739757521
PN6RM.vae.18043	0.618837401
PN4RD.vae.114046	1.565393082
PN5RC.vae.8363	0.682506481
PN10RG.vae.8672	1.533208398
PN13RB.vae.27796	1.618837401
PN3RE.vae.13270	1.623385029
PN11RE.vae.24347	1.404541789
PN1CA.bin.150	1.521927388
PN12RB.vae.57498	1.45067351
PN7RS.bin.135	1.580633048
PN13RQ.vae.10055	1.643279857
PN10RF.vae.5320	1.544203783
PN6RQ.vae.7837	1.331309876
PN1RC.vae.604	1.415630761
PN16RE.bin.157	1.463935441
PN6RF.vae.7774	1.415630761
PN6RQ.vae.45334	1.541480924
PN5RC.bin.237	1.62788553
PN10RD.vae.2387	1.110935812
PN10RI.vae.8529	1.575612247
PN12RJ.vae.37198	1.604901623
PN10RA.vae.5622	1.299125192
PN16RC.bin.14	0.942143791
PN8RB.vae.24384	1.562800271
PN10RB.vae.3433	1.473622708
PN15RB.vae.7963	1.18518184
PN8RN.vae.742	1.630118411
PN10RF.vae.6867	1.739757521
PN7RQ.vae.46230	1.562800271
PN3RG.vae.15371	1.595356305
PN16RC.bin.216	1.393162243
PN9RC.bin.106	1.638936876
PN10RC.vae.518	0.871562717
PN3RA.vae.55291	1.595356305
PN6RI.vae.25890	1.607255528
PN2LC.bin.33	0.983536476
PN2RH.vae.6302	1.440454345
PN11RN.vae.20363	0.419265046
PN1LF.bin.6	1.645435169
PN14RJ.bin.84	1.489302913
PN5CC.bin.109	1.592936831
PN10RS.vae.14750	0.952867657
PN13RC.vae.87658	1.476804367
PN11RM.vae.24886	1.331309876
PN5RB.vae.25072	1.533208398
PN7RF.vae.31801	1.678540294
PN1CI.vae.12654	1.226574525
PN5RE.vae.29715	1.429988911
PN5RB.bin.120	1.557567744
PN11RO.bin.161	1.609596744
PN6RB.vae.2191	1.649713967
PN8RM.vae.5252	1.784128596
PN11RI.vae.288	1.567970505
PN3RF.vae.27902	1.492372144
PN3RF.vae.42242	0.738023809
PN16RF.bin.12	1.313211654
PN16RT.bin.146	1.495419837
PN11RB.bin.172	1.666419661
PN8RC.vae.1634	1.674537551
PN6RM.vae.13644	1.335718995
PN16RR.vae.132844	1.248568819
PN6RB.vae.7066	0.973552256
PN11RJ.vae.75920	0.983536476
PN1CD.vae.27075	1.381476485
PN9RH.vae.9560	1.313211654
PN5LE.bin.48	1.396988651
PN7RR.vae.10652	1.125413635
PN5CF.vae.2490	0.942143791
PN3RB.bin.162	1.684476074
PN6RE.vae.9055	0.952867657
PN10RQ.bin.150	1.03027988
