name	d_mean	d_sd	d_n	c_mean	c_sd	c_n	yi	vi	measure	model	method_tau2	val_tau2	I2	Q	Q_pval	estimate	ci_lb	ci_ub	pval	index	plab
JL-BSWP	1018.25	101.835651910321	8	946	37.8606467381181	8	0.889003730209635	0.274697738510208	SMD	RM	REML	1.64860430111524	87.38%	90.0563393025508	3.70321182653148e-13	1.13569561344395	0.436957322887447	1.83443390400045	0.00144438594371077	A09130	**
JL-LXP	1028.2	42.9723425265859	10	946	37.8606467381181	8	1.91781451485136	0.327167014260405	SMD	RM	REML	1.64860430111524	87.38%	90.0563393025508	3.70321182653148e-13	1.13569561344395	0.436957322887447	1.83443390400045	0.00144438594371077	A09130	**
JL-SLBP	952.25	44.711448605068	12	946	37.8606467381181	8	0.141899863867619	0.208836722617475	SMD	RM	REML	1.64860430111524	87.38%	90.0563393025508	3.70321182653148e-13	1.13569561344395	0.436957322887447	1.83443390400045	0.00144438594371077	A09130	**
LN-BJBP	953.5	42.0561793583562	10	946	37.8606467381181	8	0.177330886487825	0.225873506758404	SMD	RM	REML	1.64860430111524	87.38%	90.0563393025508	3.70321182653148e-13	1.13569561344395	0.436957322887447	1.83443390400045	0.00144438594371077	A09130	**
LN-JSBP	1001.8	51.1772975983852	20	946	37.8606467381181	8	1.12959299377467	0.197785363064015	SMD	RM	REML	1.64860430111524	87.38%	90.0563393025508	3.70321182653148e-13	1.13569561344395	0.436957322887447	1.83443390400045	0.00144438594371077	A09130	**
LN-LDBP	1079.46666666667	36.5803746498558	15	946	37.8606467381181	8	3.47543014656498	0.454245247180855	SMD	RM	REML	1.64860430111524	87.38%	90.0563393025508	3.70321182653148e-13	1.13569561344395	0.436957322887447	1.83443390400045	0.00144438594371077	A09130	**
LN-THNP	981.25	29.1192130976881	8	946	37.8606467381181	8	0.986600883861943	0.280418165751161	SMD	RM	REML	1.64860430111524	87.38%	90.0563393025508	3.70321182653148e-13	1.13569561344395	0.436957322887447	1.83443390400045	0.00144438594371077	A09130	**
LN2-LDBP	992.857142857143	50.7191144582451	21	946	37.8606467381181	8	0.954358586883579	0.1883225012804	SMD	RM	REML	1.64860430111524	87.38%	90.0563393025508	3.70321182653148e-13	1.13569561344395	0.436957322887447	1.83443390400045	0.00144438594371077	A09130	**
SD-LWP	1115.86363636364	37.2881896973974	22	946	37.8606467381181	8	4.41507897923162	0.495336585335428	SMD	RM	REML	1.64860430111524	87.38%	90.0563393025508	3.70321182653148e-13	1.13569561344395	0.436957322887447	1.83443390400045	0.00144438594371077	A09130	**
SX-LLBP	973.5	48.107883148738	20	946	37.8606467381181	8	0.585781811121512	0.181127505897157	SMD	RM	REML	1.64860430111524	87.38%	90.0563393025508	3.70321182653148e-13	1.13569561344395	0.436957322887447	1.83443390400045	0.00144438594371077	A09130	**
HB-MSP	355.5	90.7707735635944	16	433	68.1112535279072	8	-0.888365653359155	0.203941531959755	SMD	RM	REML	0.689920456394119	76.76%	55.246456281193	7.8534691798374e-07	-0.128996298080303	-0.609838327233358	0.351845731072752	0.599025209981938	A09140	
HL-MP	469.85	51.6937082601375	20	433	68.1112535279072	8	0.632240897752929	0.182138009871276	SMD	RM	REML	0.689920456394119	76.76%	55.246456281193	7.8534691798374e-07	-0.128996298080303	-0.609838327233358	0.351845731072752	0.599025209981938	A09140	
HL2-MP	401.590909090909	55.7815971453541	22	433	68.1112535279072	8	-0.517022026275323	0.174909741715443	SMD	RM	REML	0.689920456394119	76.76%	55.246456281193	7.8534691798374e-07	-0.128996298080303	-0.609838327233358	0.351845731072752	0.599025209981938	A09140	
HN-YNBP	364.105263157895	46.2708148198577	19	433	68.1112535279072	8	-1.25344084733659	0.20672628186907	SMD	RM	REML	0.689920456394119	76.76%	55.246456281193	7.8534691798374e-07	-0.128996298080303	-0.609838327233358	0.351845731072752	0.599025209981938	A09140	
IM-IMBP	434.647058823529	42.5895250860916	17	433	68.1112535279072	8	0.0308009394119259	0.183842503369138	SMD	RM	REML	0.689920456394119	76.76%	55.246456281193	7.8534691798374e-07	-0.128996298080303	-0.609838327233358	0.351845731072752	0.599025209981938	A09140	
JL-BSWP	441.875	77.312792325351	8	433	68.1112535279072	8	0.115148563424468	0.250414349739335	SMD	RM	REML	0.689920456394119	76.76%	55.246456281193	7.8534691798374e-07	-0.128996298080303	-0.609838327233358	0.351845731072752	0.599025209981938	A09140	
JL-LXP	416.6	35.3087965117917	10	433	68.1112535279072	8	-0.298843407417544	0.22748076061547	SMD	RM	REML	0.689920456394119	76.76%	55.246456281193	7.8534691798374e-07	-0.128996298080303	-0.609838327233358	0.351845731072752	0.599025209981938	A09140	
JL-SLBP	391.75	66.2174448314038	12	433	68.1112535279072	8	-0.589945392888208	0.217034222498084	SMD	RM	REML	0.689920456394119	76.76%	55.246456281193	7.8534691798374e-07	-0.128996298080303	-0.609838327233358	0.351845731072752	0.599025209981938	A09140	
LN-BJBP	340.3	47.0603631284096	10	433	68.1112535279072	8	-1.54241604784635	0.291084646240387	SMD	RM	REML	0.689920456394119	76.76%	55.246456281193	7.8534691798374e-07	-0.128996298080303	-0.609838327233358	0.351845731072752	0.599025209981938	A09140	
LN-JSBP	423.45	42.9387262331606	20	433	68.1112535279072	8	-0.181954909017072	0.175591206944918	SMD	RM	REML	0.689920456394119	76.76%	55.246456281193	7.8534691798374e-07	-0.128996298080303	-0.609838327233358	0.351845731072752	0.599025209981938	A09140	
LN-LDBP	484.133333333333	28.0200608408299	15	433	68.1112535279072	8	1.08322623877942	0.217174907631454	SMD	RM	REML	0.689920456394119	76.76%	55.246456281193	7.8534691798374e-07	-0.128996298080303	-0.609838327233358	0.351845731072752	0.599025209981938	A09140	
LN-THNP	418.625	26.4085348757881	8	433	68.1112535279072	8	-0.263060980699289	0.252162533736452	SMD	RM	REML	0.689920456394119	76.76%	55.246456281193	7.8534691798374e-07	-0.128996298080303	-0.609838327233358	0.351845731072752	0.599025209981938	A09140	
LN2-LDBP	427.238095238095	55.3515173792957	21	433	68.1112535279072	8	-0.0950369897565705	0.172774772264254	SMD	RM	REML	0.689920456394119	76.76%	55.246456281193	7.8534691798374e-07	-0.128996298080303	-0.609838327233358	0.351845731072752	0.599025209981938	A09140	
SD-LWP	538.909090909091	25.1280702287285	22	433	68.1112535279072	8	2.54962356515073	0.278797550854077	SMD	RM	REML	0.689920456394119	76.76%	55.246456281193	7.8534691798374e-07	-0.128996298080303	-0.609838327233358	0.351845731072752	0.599025209981938	A09140	
SX-LLBP	399.9	43.9771471753706	20	433	68.1112535279072	8	-0.622789151844777	0.18192618442242	SMD	RM	REML	0.689920456394119	76.76%	55.246456281193	7.8534691798374e-07	-0.128996298080303	-0.609838327233358	0.351845731072752	0.599025209981938	A09140	
HB-MSP	89.625	23.3263084663362	16	97.375	12.1177260950347	8	-0.366095365761955	0.190292204517341	SMD	RM	REML	1.01035421464965	81.83%	68.4358949046858	3.70032010364192e-09	0.835274630422424	0.271025724967899	1.39952353587695	0.003715068563353	A09150	**
HL-MP	132.6	14.6840407460474	20	97.375	12.1177260950347	8	2.43582482930391	0.280950760697383	SMD	RM	REML	1.01035421464965	81.83%	68.4358949046858	3.70032010364192e-09	0.835274630422424	0.271025724967899	1.39952353587695	0.003715068563353	A09150	**
HL2-MP	98.4545454545455	14.184925844435	22	97.375	12.1177260950347	8	0.0766805404605974	0.170552543875968	SMD	RM	REML	1.01035421464965	81.83%	68.4358949046858	3.70032010364192e-09	0.835274630422424	0.271025724967899	1.39952353587695	0.003715068563353	A09150	**
